Time resolution is 1 ps
                 940A = 0, clk = 0, clr = 1, Q = 0
                 945A = 0, clk = 1, clr = 1, Q = 0
                 950A = 0, clk = 0, clr = 1, Q = 0
                 955A = 0, clk = 1, clr = 1, Q = 0
                 960A = 0, clk = 0, clr = 1, Q = 0
                 965A = 0, clk = 1, clr = 1, Q = 0
                 970A = 0, clk = 0, clr = 1, Q = 0
                 975A = 0, clk = 1, clr = 1, Q = 0
                 980A = 0, clk = 0, clr = 1, Q = 0
                 985A = 0, clk = 1, clr = 1, Q = 0
                 990A = 0, clk = 0, clr = 1, Q = 0
                 995A = 0, clk = 1, clr = 1, Q = 0
                1000A = 0, clk = 0, clr = 1, Q = 0
